"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"TCGA-55-6971-01","False","False","2.54","1.30","0.43","1.24","0.44","1.63","True","2.54","-2.36","-0.13","-0.00","-0.09"
"TCGA-49-AAR3-01","False","False","2.49","2.23","0.17","1.55","2.26","1.90","True","2.49","-0.28","0.04","0.02","-0.07"
"TCGA-55-A48X-01","False","False","2.49","0.14","0.37","0.52","0.19","0.60","True","2.49","-1.13","-0.07","-0.04","0.02"
"TCGA-49-AAR9-01","False","False","2.46","0.01","0.28","-0.31","-1.18","-0.55","False","-1.68","2.46","0.22","0.00","-0.01"
"TCGA-93-A4JO-01","False","False","2.46","0.67","0.37","0.79","0.46","1.09","True","2.46","-1.63","-0.08","-0.07","-0.01"
"TCGA-97-8547-01","False","False","2.43","-0.43","0.41","-0.41","0.19","-1.90","False","1.21","2.43","0.00","0.21","0.03"
"TCGA-55-6979-01","False","False","2.43","2.49","0.26","1.59","2.17","1.45","True","2.43","-1.76","-0.10","0.03","-0.09"
"TCGA-69-7973-01","False","False","2.43","-0.93","0.40","-0.58","-0.82","1.01","False","-1.21","2.43","0.15","0.03","0.04"
"TCGA-86-6562-01","False","False","2.41","-1.00","0.40","-0.64","0.13","-1.34","False","-0.53","2.41","0.03","0.19","0.00"
"TCGA-55-7570-01","True","False","2.37","-1.03","0.54","-0.86","-1.18","1.34","False","-2.27","2.37","0.18","-0.03","0.07"
"TCGA-69-7978-01","False","False","2.34","1.95","0.30","1.62","2.73","1.51","True","2.34","-1.12","-0.09","0.08","-0.09"
"TCGA-69-7979-01","False","False","2.33","-0.18","0.43","-0.80","-0.32","-1.34","False","-1.06","2.33","0.11","0.08","0.03"
"TCGA-91-6835-01","False","False","2.33","1.68","0.25","1.71","1.26","2.59","True","2.33","-1.80","-0.15","-0.00","-0.03"
"TCGA-38-4630-01","False","False","2.31","0.27","0.54","-0.31","-0.93","0.02","False","-1.95","2.31","0.15","0.01","0.05"
"TCGA-50-5072-01","False","False","2.25","-0.71","0.78","-0.50","-0.51","-1.06","False","-1.54","2.25","0.16","0.04","0.00"
"TCGA-49-6744-01","False","False","2.25","0.61","0.43","0.90","-0.04","1.16","True","2.25","-0.33","-0.14","0.15","-0.04"
"TCGA-44-7661-01","False","False","2.24","1.06","0.64","0.97","3.58","0.12","False","0.98","2.24","0.11","0.13","-0.04"
"TCGA-55-6985-01","False","False","2.23","1.04","0.31","0.70","0.55","0.33","True","2.23","0.14","-0.00","0.09","-0.06"
"TCGA-50-5941-01","False","False","2.23","2.23","0.35","1.70","1.45","1.66","True","2.23","-1.98","-0.11","-0.01","-0.08"
"TCGA-97-7553-01","False","False","2.20","0.74","0.60","0.99","1.08","1.34","True","2.20","-3.11","-0.24","0.01","-0.06"
"TCGA-64-5815-01","False","False","2.20","-0.45","0.40","-0.05","0.15","-0.85","False","1.49","2.20","-0.03","0.30","-0.05"
"TCGA-50-6593-01","True","False","2.18","-1.05","0.34","-0.61","0.73","-1.19","False","0.70","2.18","-0.02","0.18","0.06"
"TCGA-MN-A4N1-01","True","False","2.18","-2.35","0.25","-1.78","-0.85","-2.10","False","-0.67","2.18","0.15","0.00","0.06"
"TCGA-64-5774-01","True","False","2.18","-1.40","0.45","-1.20","-0.85","0.90","False","-1.47","2.18","0.19","-0.01","0.02"
"TCGA-49-4490-01","False","False","2.14","-0.81","0.16","-0.58","-1.72","-0.82","False","0.79","2.14","0.09","0.08","0.03"
"TCGA-93-A4JN-01","False","False","2.14","-0.47","0.21","-0.01","-0.02","-1.00","False","1.30","2.14","0.10","0.11","-0.01"
"TCGA-55-8301-01","False","False","2.12","2.45","0.59","1.49","1.89","1.21","True","2.12","-1.80","-0.06","-0.02","-0.09"
"TCGA-55-8299-01","False","False","2.12","1.87","0.65","1.60","1.35","2.20","True","2.12","0.58","-0.03","0.19","-0.10"
"TCGA-53-7626-01","False","False","2.10","0.85","0.44","1.04","0.19","1.35","True","2.10","-1.49","-0.14","0.04","-0.04"
"TCGA-44-7671-01","True","False","2.08","-2.19","0.57","-1.35","-1.65","-1.53","False","-1.08","2.08","0.01","0.11","0.08"
"TCGA-73-4670-01","True","False","2.07","-1.33","0.78","-1.19","-1.04","-1.35","False","-2.15","2.07","0.14","0.07","-0.02"
"TCGA-62-A46V-01","True","False","2.07","-1.43","0.80","-1.22","-0.81","-2.30","False","-1.20","2.07","0.04","0.09","0.06"
"TCGA-MN-A4N4-01","True","False","2.05","-1.30","0.11","-0.59","-0.76","-0.28","False","0.50","2.05","0.05","0.14","0.01"
"TCGA-55-8089-01","False","False","2.05","3.07","0.69","2.18","1.50","2.04","True","2.05","-2.34","-0.07","-0.03","-0.11"
"TCGA-50-5049-01","False","False","2.04","2.17","0.45","1.67","0.43","2.65","True","2.04","-0.87","-0.14","0.10","-0.04"
